,MDS_x,MDS_y,Entity,tsne_x,tsne_y,scluster6,kmeans6
11825,-3.1748475000362975,3.2017881718165677,Tajikistan,-3.1820648,-1.020928,0,2
11852,1.1561742356317557,4.9110739223316875,Tanzania,-1.2264923,-11.156183,0,2
11910,-4.064823816065117,1.3746489286789323,Thailand,6.900249,-5.89158,0,0
11968,0.37614896750396376,0.8062850554968496,Timor,4.508083,1.0671583,0,0
12026,-1.1115219168060575,6.957094587973279,Togo,-18.463713,-3.985552,0,2
12084,-2.580866923803536,8.529564770176027,Tokelau,-20.579313,-9.659112,0,2
12142,-6.589749913855299,6.5683726456130875,Tonga,-11.536568,-2.749828,0,2
13648,-6.072060747978508,3.13300740217648,Transnistria,-10.17943,-2.3293247,0,2
12200,-6.872306736196682,-0.4009171971556758,Trinidad and Tobago,9.06921,-6.7220006,0,0
12258,4.724871010572958,-0.615918172981973,Tunisia,14.047904,1.7189566,0,0
12316,-2.920013803178381,1.7683272338881049,Turkey,5.32208,-4.6747513,0,0
12374,-3.101315506720888,-0.07026650535985784,Turkmenistan,8.124378,-3.1223247,0,0
13649,-2.0165772766188694,0.23104436787627042,Turks and Caicos Islands,7.460693,-2.066386,0,0
13650,-1.0756308802360708,0.5350632554746009,Tuscany,6.4885926,-0.32421982,0,0
12401,-0.08613550386735767,0.8982003371322825,Tuvalu,4.6449666,0.4678977,0,0
13651,2.3915351716689086,3.399035175272715,Two Sicilies,-4.8027325,1.3731029,0,0
12459,5.901443993967428,6.914514895489477,USSR,-5.2478447,1.9291546,0,2
12490,-1.6011784905047801,7.620949312735616,Uganda,-19.293703,-5.7980137,0,2
12548,-0.33109393537894805,4.130713528430002,Ukraine,-2.7358432,-7.053696,0,2
12575,-3.248961744183178,-5.935040266083055,United Arab Emirates,10.835635,11.952655,4,3
12633,1.9598660965067949,-18.678730345130028,United Kingdom,18.370516,15.564637,3,4
13653,9.031554030127682,-12.748147627960414,United Korea,16.692608,14.443697,1,4
12691,16.335653920981443,-7.651751530866795,United States,4.536692,12.238976,1,1
13654,-1.8933339971488212,-7.989743940198213,United States Minor Outlying Islands,5.0081134,9.983986,4,3
12749,0.27954330889837586,-0.36150693290950436,United States Virgin Islands,8.376421,2.6662898,0,0
12807,-3.1331222496776174,2.4632625243324524,Uruguay,-2.4784997,-0.46417436,0,0
12865,-1.7785391249450548,-8.419138985347793,Uzbekistan,13.040196,14.363041,4,3
12892,2.8758187815252167,-13.055325123810173,Vanuatu,18.141327,12.798102,5,4
13655,2.3246898497624,-8.306066809963308,Vatican,16.381947,10.745526,4,3
12950,1.1048953188261423,-3.7617665962670257,Venezuela,13.236976,7.059417,4,3
13008,-1.0290147184605813,-9.842137944932949,Vietnam,14.206097,13.793347,4,3
13066,2.996549921616114,-6.860056007470421,Wallis and Futuna,16.43313,9.660262,4,3
13656,1.8433172982188415,-0.7651328834879073,West Germany,11.745449,2.939127,0,0
13124,0.6293476006499896,5.419326937773538,Western Africa,-2.952036,-11.627963,0,2
13182,-3.484387628255512,3.191911686452446,Western Asia,-6.7487674,-1.5456898,0,2
13240,-0.8768021172021466,-0.3000921702614728,Western Sahara,7.3006306,1.1355848,0,0
13298,-69.61686897987755,-62.58879857229413,World,18.389523,3.9556897,2,5
13657,45.70672390324996,-1.4127259285360676,Wuerttemburg,2.6332283,13.78374,0,1
13356,0.9688419927616674,4.3764471963325295,Yemen,-0.9578875,-10.519701,0,2
13658,-0.40667719293162485,4.825577202532811,Yemen Arab Republic,-4.3665013,-8.818747,0,2
